Myindex,v[b],v[c],Time,Method,Tgt,Strain,K,BObj
0,0.07919,18.78197,14.212,M,10,iJO1366,2,EX_ac_e
1,0.07919,18.78194,14.38,M,20,iJO1366,2,EX_ac_e
2,0.07919,18.78186,12.527,M,30,iJO1366,2,EX_ac_e
3,0.12719,18.04372,13.472,M,40,iJO1366,2,EX_ac_e
4,0.12719,18.04365,14.788,M,50,iJO1366,2,EX_ac_e
5,0.19481,17.00376,9.255,M,60,iJO1366,2,EX_ac_e
6,0.19481,17.00362,18.295,M,70,iJO1366,2,EX_ac_e
7,0.19481,17.00357,7.578,M,80,iJO1366,2,EX_ac_e
8,0.24009,8.21832,12.553,M,90,iJO1366,2,EX_ac_e
9,0.07919,18.78185,9.043,O,10,iJO1366,2,EX_ac_e
10,0.07919,18.78185,9.159,O,20,iJO1366,2,EX_ac_e
11,0.07919,18.78206,8.953,O,30,iJO1366,2,EX_ac_e
12,0.12719,18.04407,8.169,O,40,iJO1366,2,EX_ac_e
13,0.12719,18.04409,6.761,O,50,iJO1366,2,EX_ac_e
14,0.19481,17.00354,5.916,O,60,iJO1366,2,EX_ac_e
15,0.19481,17.00355,6,O,70,iJO1366,2,EX_ac_e
16,0.19481,17.00354,4.195,O,80,iJO1366,2,EX_ac_e
17,0.24008,8.21816,3.977,O,90,iJO1366,2,EX_ac_e
18,0.0502,14.29497,7.071,P,10,iJO1366,2,EX_ac_e
19,0.0502,14.29497,6.973,P,20,iJO1366,2,EX_ac_e
20,0.15092,12.88018,7.633,P,30,iJO1366,2,EX_ac_e
21,0.15092,12.88018,6.256,P,40,iJO1366,2,EX_ac_e
22,0.15092,12.88018,5.69,P,50,iJO1366,2,EX_ac_e
23,0.15092,12.88018,4.603,P,60,iJO1366,2,EX_ac_e
24,0.24008,8.21816,4.05,P,70,iJO1366,2,EX_ac_e
25,0.24008,8.21816,3.693,P,80,iJO1366,2,EX_ac_e
26,0.24008,8.21816,1.961,P,90,iJO1366,2,EX_ac_e
27,0.07692,18.86291,12.767,M,10,iJO1366,2,EX_etoh_e
28,0.07692,18.86291,15.618,M,20,iJO1366,2,EX_etoh_e
29,0.07692,18.86291,16.266,M,30,iJO1366,2,EX_etoh_e
30,0.18921,17.20294,13.576,M,40,iJO1366,2,EX_etoh_e
31,0.18921,17.20294,8.035,M,50,iJO1366,2,EX_etoh_e
32,0.18921,17.20294,15.404,M,60,iJO1366,2,EX_etoh_e
33,0.1892,17.20312,11.313,M,70,iJO1366,2,EX_etoh_e
34,0.19486,16.88929,13.963,M,80,iJO1366,2,EX_etoh_e
35,0.23865,8.44576,8.458,M,90,iJO1366,2,EX_etoh_e
36,0.07692,18.86302,10.075,O,10,iJO1366,2,EX_etoh_e
37,0.07692,18.86291,9.864,O,20,iJO1366,2,EX_etoh_e
38,0.07692,18.86302,9.286,O,30,iJO1366,2,EX_etoh_e
39,0.18921,17.20292,8.312,O,40,iJO1366,2,EX_etoh_e
40,0.18921,17.20292,7.759,O,50,iJO1366,2,EX_etoh_e
41,0.18921,17.20293,7.402,O,60,iJO1366,2,EX_etoh_e
42,0.18921,17.20292,7.018,O,70,iJO1366,2,EX_etoh_e
43,0.19486,16.88925,6.291,O,80,iJO1366,2,EX_etoh_e
44,0.23865,8.4457,3.91,O,90,iJO1366,2,EX_etoh_e
45,0.18921,17.20292,8.371,P,10,iJO1366,2,EX_etoh_e
46,0.18921,17.20293,7.973,P,20,iJO1366,2,EX_etoh_e
47,0.18921,17.20292,7.46,P,30,iJO1366,2,EX_etoh_e
