Column1,MB,MC,OB,OC,PB,PC,tgt,MGKO,OGKO,PGKO,Mt,Ot,Pt,K,Strain,BObj
0,0.24009,8.21832,0.24008,8.21816,0.24008,8.21816,90,"['FUM', 'PGL']","['FUM', 'MDH']","['FUM', 'MDH']",12.553,3.977,1.961,2,iJO,ac
1,0.19481,17.00357,0.19481,17.00354,0.24008,8.21816,80,"['ALCD2x', 'LDH_D']","['ACALD', 'G6PDH2r']","['FUM', 'MDH']",7.578,4.195,3.693,2,iJO,ac
2,0.19481,17.00362,0.19481,17.00355,0.24008,8.21816,70,"['ACALD', 'FRD2']","['AKGDH', 'ALCD2x']","['FUM', 'MDH']",18.295,6,4.05,2,iJO,ac
3,0.19481,17.00376,0.19481,17.00354,0.15092,12.88018,60,"['ACALD', 'AKGDH']","['ALCD2x', 'PGL']","['FUM', 'TPI']",9.255,5.916,4.603,2,iJO,ac
4,0.12719,18.04365,0.12719,18.04409,0.15092,12.88018,50,"['ACALD', 'TPI']","['ALCD2x', 'TPI']","['FUM', 'TPI']",14.788,6.761,5.69,2,iJO,ac
5,0.12719,18.04372,0.12719,18.04407,0.15092,12.88018,40,"['ACALD', 'TPI']","['ALCD2x', 'TPI']","['FUM', 'TPI']",13.472,8.169,6.256,2,iJO,ac
6,0.07919,18.78186,0.07919,18.78206,0.15092,12.88018,30,"['ALCD2x', 'GLCptspp']","['ACALD', 'GLCptspp']","['FUM', 'TPI']",12.527,8.953,7.633,2,iJO,ac
7,0.07919,18.78194,0.07919,18.78185,0.0502,14.29497,20,"['ACALD', 'GLCptspp']","['ALCD2x', 'GLCptspp']","['GLCptspp', 'TPI']",14.38,9.159,6.973,2,iJO,ac
8,0.07919,18.78197,0.07919,18.78185,0.0502,14.29497,10,"['ACALD', 'GLCptspp']","['ALCD2x', 'GLCptspp']","['GLCptspp', 'TPI']",14.212,9.043,7.071,2,iJO,ac
9,0.24008,8.21823,0.24008,8.21816,0.24008,8.21816,90,"['FUM', 'MDH', 'PFK']","['FUM', 'GND', 'MDH']","['FUM', 'GND', 'MDH']",9.319,19.226,9.12,3,iJO,ac
10,0.1932,17.03363,0.19481,17.00354,0.21569,8.2501,80,"['ACALD', 'HEX1', 'TALA']","['ACALD', 'G6PDH2r', 'PGL']","['FBA', 'G6PDH2r', 'TALA']",9.894,17.868,20.599,3,iJO,ac
11,0.17867,17.21656,0.17867,17.21654,0.21569,8.2501,70,"['ALCD2x', 'FBA', 'TALA']","['ALCD2x', 'PFK', 'TALA']","['G6PDH2r', 'PFK', 'TALA']",16.654,30.663,26.98,3,iJO,ac
12,0.17867,17.21657,0.17867,17.21654,0.15092,12.88032,60,"['ALCD2x', 'PFK', 'TALA']","['ACALD', 'FBA', 'TALA']","['FUM', 'MDH', 'TPI']",9.563,30.725,33.504,3,iJO,ac
13,0.12719,18.04369,0.12719,18.04364,0.15092,12.88032,50,"['ALCD2x', 'PGI', 'TPI']","['ALCD2x', 'SUCOAS', 'TPI']","['FUM', 'MDH', 'TPI']",23.338,39.69,47.922,3,iJO,ac
14,0.12719,18.04371,0.12719,18.04407,0.15092,12.88031,40,"['ALCD2x', 'PGI', 'TPI']","['ALCD2x', 'GLCabcpp', 'TPI']","['FRD2', 'MDH', 'TPI']",15.677,40.822,57.962,3,iJO,ac
15,0.07919,18.78186,0.07919,18.78207,0.15092,12.88032,30,"['ALCD2x', 'G6PDH2r', 'GLCptspp']","['ALCD2x', 'GLCptspp', 'MDH3']","['FUM', 'MDH', 'TPI']",18.733,58.649,71.954,3,iJO,ac
16,0.07919,18.78187,0.07919,18.78186,0.04989,14.2993,20,"['ACALD', 'GLCptspp', 'SUCOAS']","['ALCD2x', 'G6PDH2r', 'PGI']","['GLCptspp', 'MDH', 'TPI']",78.562,59.719,72.77,3,iJO,ac
17,0.07919,18.78186,0.07919,18.78185,0.04989,14.2993,10,"['ALCD2x', 'GLCptspp', 'MDH2']","['ALCD2x', 'GLCptspp', 'MDH3']","['GLCptspp', 'MDH', 'TPI']",23.707,62.759,75.5,3,iJO,ac
18,0.23865,8.44576,0.23865,8.4457,0.23865,8.4457,90,"['MDH', 'TKT2']","['MDH', 'TKT2']","['MDH', 'TKT2']",8.458,3.91,2.053,2,iJO,etoh
19,0.19486,16.88929,0.19486,16.88925,0.19718,16.45005,80,"['ACKr', 'G6PDH2r']","['ACKr', 'GND']","['LDH_D', 'PTAr']",13.963,6.291,3.78,2,iJO,etoh
20,0.1892,17.20312,0.18921,17.20292,0.18921,17.20292,70,"['MDH2', 'PFL']","['FBA', 'PFL']","['LDH_D', 'PFL']",11.313,7.018,5.533,2,iJO,etoh
21,0.18921,17.20294,0.18921,17.20293,0.18921,17.20292,60,"['HEX1', 'PFL']","['HEX1', 'PFL']","['LDH_D', 'PFL']",15.404,7.402,5.013,2,iJO,etoh
22,0.18921,17.20294,0.18921,17.20292,0.18921,17.20292,50,"['GND', 'PFL']","['PFL', 'SUCOAS']","['LDH_D', 'PFL']",8.035,7.759,5.703,2,iJO,etoh
23,0.18921,17.20294,0.18921,17.20292,0.18921,17.20292,40,"['AKGDH', 'PFL']","['FBA', 'PFL']","['LDH_D', 'PFL']",13.576,8.312,6.272,2,iJO,etoh
24,0.07692,18.86291,0.07692,18.86302,0.18921,17.20292,30,"['GLCptspp', 'PFL']","['GLCptspp', 'PFL']","['LDH_D', 'PFL']",16.266,9.286,7.46,2,iJO,etoh
25,0.07692,18.86291,0.07692,18.86291,0.18921,17.20293,20,"['GLCptspp', 'PFL']","['GLCptspp', 'PFL']","['LDH_D', 'PFL']",15.618,9.864,7.973,2,iJO,etoh
26,0.07692,18.86291,0.07692,18.86302,0.18921,17.20292,10,"['GLCptspp', 'PFL']","['GLCptspp', 'PFL']","['LDH_D', 'PFL']",12.767,10.075,8.371,2,iJO,etoh
27,0.22264,8.55002,0.22264,8.54996,0.22264,8.54996,90,"['FBA', 'TKT2', 'TALA']","['PFK', 'TKT2', 'TALA']","['FBA', 'TKT2', 'TALA']",9.734,19.36,8.437,3,iJO,etoh
28,0.19406,16.90208,0.19406,16.90203,0.19623,16.4906,80,"['G6PDH2r', 'MDH', 'PTAr']","['G6PDH2r', 'MDH', 'PTAr']","['ACKr', 'LDH_D', 'MDH']",11.046,23.367,16.073,3,iJO,etoh
29,0.1705,17.33453,0.1705,17.33451,0.18921,17.20292,70,"['PFK', 'PFL', 'TALA']","['FBA', 'PFL', 'TALA']","['G6PDH2r', 'LDH_D', 'PFL']",15.452,34.622,22.384,3,iJO,etoh
30,0.1705,17.33454,0.1705,17.33451,0.18921,17.20292,60,"['FBA', 'PFL', 'TALA']","['FBA', 'PFL', 'TALA']","['FRD2', 'LDH_D', 'PFL']",33.199,34.756,17.709,3,iJO,etoh
31,0.1705,17.33453,0.1705,17.33452,0.18921,17.20292,50,"['PFK', 'PFL', 'TALA']","['PFK', 'PFL', 'TALA']","['GND', 'LDH_D', 'PFL']",31.176,34.794,22.183,3,iJO,etoh
32,0.1705,17.33453,0.1705,17.33451,0.18921,17.20292,40,"['PFK', 'PFL', 'TALA']","['PFK', 'PFL', 'TALA']","['GND', 'LDH_D', 'PFL']",35.233,39.534,24.329,3,iJO,etoh
