,C_Bio,C_Chel,Method,Time,Tgt,Strain,K,Strategy,E_Bio,E_Che,IC_Bio,IC_Che
0,0.88557,8e-05,M,1.071,1.0,iAF1260,1,['PYK'],0.88557,0.0,0.88557,0.0
1,0.81763,0.85104,M,5.145,0.9,iAF1260,1,['FUM'],0.79701,2.39767,0.81763,0.85092
2,0.81763,0.85103,M,5.23,0.8,iAF1260,1,['FUM'],0.70846,3.99242,0.81763,0.85092
3,0.81761,0.85215,M,3.753,0.7,iAF1260,1,['FUM'],0.6199,5.5851,0.81763,0.85092
4,0.53134,7.17782,M,2.944,0.6,iAF1260,1,['RPI'],0.53134,7.17777,0.87153,0.0
5,0.81761,0.8522,M,5.139,0.5,iAF1260,1,['FUM'],0.44279,8.77044,0.81763,0.85092
6,0.81757,0.85443,M,3.675,0.4,iAF1260,1,['FUM'],0.35423,10.36312,0.81763,0.85092
7,0.8176,0.85266,M,4.217,0.3,iAF1260,1,['FUM'],0.26567,11.9552,0.81763,0.85092
8,0.81759,0.85365,M,4.205,0.2,iAF1260,1,['FUM'],0.17711,13.54418,0.81763,0.85092
9,0.81761,0.85232,M,4.824,0.1,iAF1260,1,['FUM'],0.08856,15.13316,0.81763,0.85092
10,0.0,16.72215,M,1.626,1.4e-16,iAF1260,1,['ICDHyr'],0.0,16.72214,0.0,0.0
11,0.88557,0.00011,O,0.36,1.0,iAF1260,1,['PYK'],0.88557,0.0,0.88557,0.0
12,0.81763,0.85092,O,1.594,0.9,iAF1260,1,['FUM'],0.79701,2.39767,0.81763,0.85092
13,0.81763,0.85092,O,1.702,0.8,iAF1260,1,['FUM'],0.70846,3.99242,0.81763,0.85092
14,0.81763,0.85092,O,1.608,0.7,iAF1260,1,['FUM'],0.6199,5.5851,0.81763,0.85092
15,0.81763,0.85092,O,1.845,0.6,iAF1260,1,['FUM'],0.53134,7.17777,0.81763,0.85092
16,0.81763,0.85092,O,1.943,0.5,iAF1260,1,['FUM'],0.44279,8.77044,0.81763,0.85092
17,0.81763,0.85092,O,1.625,0.4,iAF1260,1,['FUM'],0.35423,10.36312,0.81763,0.85092
18,0.81763,0.85092,O,1.836,0.3,iAF1260,1,['FUM'],0.26567,11.9552,0.81763,0.85092
19,0.81763,0.85092,O,1.901,0.2,iAF1260,1,['FUM'],0.17711,13.54418,0.81763,0.85092
20,0.81763,0.85092,O,1.699,0.1,iAF1260,1,['FUM'],0.08856,15.13316,0.81763,0.85092
21,0.0,16.72215,O,1.223,1.4e-16,iAF1260,1,['ICDHyr'],0.0,16.72214,-0.0,0.0
22,0.88557,0.00011,P,0.439,1.0,iAF1260,1,['MDH3'],0.88557,0.0,0.88557,0.0
23,0.81763,0.85092,P,0.848,0.9,iAF1260,1,['FUM'],0.79701,2.39767,0.81763,0.85092
24,0.70846,3.99248,P,0.56,0.8,iAF1260,1,['FRD2'],0.70846,3.99242,0.88557,0.0
25,0.6199,5.58515,P,0.591,0.7,iAF1260,1,['FRD2'],0.6199,5.5851,0.88557,0.0
26,0.81763,0.85092,P,1.026,0.6,iAF1260,1,['FUM'],0.53134,7.17777,0.81763,0.85092
27,0.86653,0.57981,P,0.563,0.5,iAF1260,1,['FRD2'],0.44279,8.77044,0.88557,0.0
28,0.87738,8e-05,P,0.416,0.4,iAF1260,1,['ACKr'],0.35423,10.36312,0.87738,0.0
29,0.87738,8e-05,P,0.434,0.3,iAF1260,1,['ACKr'],0.26567,11.9552,0.87738,0.0
30,0.81763,0.85092,P,0.982,0.2,iAF1260,1,['FUM'],0.17711,13.54418,0.81763,0.85092
