,MB,MC,CB,CC,PB,PC,tgt,Bio,Che,Mys,Cys,Pys,Mt,Ct,Pt,ICB_mb,ICC_mb,ICB_mc,ICC_mc,ICB_cb,ICC_cb,ICB_cc,ICC_cc,ICB_pb,ICC_pb,ICB_pc,ICC_pc
0,0.88557,7e-05,0.88557,0.00012,0.88557,0.00012,1.0,0.88557,0.0,"['PFL', 'PYK']","['PFL', 'PYK']","['FRD2', 'HEX1']",1.865,0.341,0.498,0.88557,0.88557,0.0,-0.0,0.88557,0.88557,0.0,-0.0,0.88557,0.88557,0.0,-0.0
1,0.79701,2.33059,0.79701,2.39774,0.87159,0.00015,0.9,0.79701,2.39767,"['TKT1', 'TKT2']","['HEX1', 'PFL']","['PFK', 'PFL']",10.104,0.394,1.643,1.0,0.79701,2000.0,2.33052,0.88557,0.79701,0.0,2.39767,0.87159,0.79701,0.0,2.25511
2,0.70846,3.94949,0.70846,3.99248,0.70846,3.99248,0.8,0.70846,3.99242,"['TKT1', 'TKT2']","['PFL', 'PYK']","['FRD2', 'HEX1']",8.814,0.354,0.719,1.0,0.70846,2000.0,3.94943,0.88557,0.70846,0.0,3.99242,0.88557,0.70846,0.0,3.99242
3,0.69682,4.13915,0.6199,5.58515,0.6199,5.58515,0.7,0.6199,5.5851,"['RPE', 'TALA']","['PFL', 'PYK']","['FRD2', 'HEX1']",16.71,0.395,0.804,0.8457,0.6199,0.0,5.53803,0.88557,0.6199,0.0,5.5851,0.88557,0.6199,0.0,5.5851
4,0.53134,7.15097,0.53134,7.17783,0.53134,7.17783,0.6,0.53134,7.17777,"['RPE', 'TKT2']","['PFL', 'PYK']","['FRD2', 'TKT2']",9.96,0.358,0.984,1.0,0.53134,2000.0,7.15091,0.88557,0.53134,0.0,7.17777,0.87654,0.53134,0.0,7.17777
5,0.44279,8.75576,0.44279,8.7705,0.84683,1.15962,0.5,0.44279,8.77044,"['RPE', 'TKT2']","['HEX1', 'TALA']","['G6PDH2r', 'TKT1']",6.296,0.371,1.009,1.0,0.44279,2000.0,8.7557,0.87297,0.44279,0.0,8.77044,0.86952,0.44279,0.0,8.74992
6,0.35423,10.36267,0.35423,10.36317,0.88557,0.0,0.4,0.35423,10.36312,"['GND', 'TKT2']","['GLCabcpp', 'PYK']","['GLCabcpp', 'PYK']",7.772,0.405,0.46,1.0,2000.0,2000.0,1.0,0.88557,0.35423,0.0,10.36312,0.88557,0.35423,0.0,10.36312
7,0.26567,11.95525,0.26567,11.95527,0.81763,0.85092,0.3,0.26567,11.9552,"['GND', 'RPE']","['GLCabcpp', 'PYK']","['AKGDH', 'FUM']",7.436,0.392,8.746,0.26567,0.26567,0.0,11.9552,0.88557,0.26567,0.0,11.9552,0.81763,0.26567,0.85092,11.74699
8,0.17711,7.31885,0.17711,13.54442,0.81763,0.85092,0.2,0.17711,13.54418,"['RPE', 'RPI']","['HEX1', 'PYK']","['AKGDH', 'FUM']",12.127,0.41,10.751,1.0,2000.0,2000.0,1.0,0.88557,0.17711,0.0,13.54418,0.81763,0.17711,0.85092,13.29867
9,0.08856,15.13321,0.08856,15.13329,0.81763,0.85092,0.1,0.08856,15.13316,"['GND', 'TKT2']","['GLCabcpp', 'PYK']","['AKGDH', 'FUM']",5.012,0.429,8.611,1.0,0.08856,2000.0,15.13316,0.88557,0.08856,0.0,15.13316,0.81763,0.08856,0.85092,14.85036
10,0.0,16.72215,0.0,16.72216,0.0,16.72215,1.4e-16,0.0,16.72214,"['ICDHyr', 'PYK']","['PFL', 'PYK']","['HEX1', 'ICDHyr']",1.902,0.318,1.051,0.0,0.0,0.0,16.72214,0.88557,0.0,0.0,16.72214,0.0,0.0,0.0,16.72214
