,MB,MC,CB,CC,PB,PC,tgt,Bio,Che,Mys,Cys,Pys,Mt,Ct,Pt,ICB_mb,ICC_mb,ICB_mc,ICC_mc,ICB_cb,ICC_cb,ICB_cc,ICC_cc,ICB_pb,ICC_pb,ICB_pc,ICC_pc
0,0.2415,0.08005,0.2415,0.08008,0.2415,0.08015,1.0,0.2415,0.08005,"['GLCabcpp', 'PYK']","['AKGDH', 'PYK']","['HEX1', 'PGL']",1.807,0.525,0.573,1.0,0.2415,2000.0,0.08005,1.0,0.2415,2000.0,0.08005,1.0,0.2415,2000.0,0.08005
1,0.24009,0.25041,0.21735,2.98541,0.24009,0.25037,0.9,0.21735,2.98538,"['FUM', 'MDH2']","['G6PDH2r', 'HEX1']","['FUM', 'PYK']",11.302,0.687,2.121,0.24009,0.21735,0.25037,1.88189,0.2415,0.21735,0.08005,2.98538,0.24009,0.21735,0.25037,1.88189
2,0.24008,0.25087,0.1932,5.89073,0.24009,0.25037,0.8,0.1932,5.89071,"['FUM', 'MDH']","['MDH3', 'PYK']","['FUM', 'HEX1']",24.456,0.541,3.528,0.24009,0.1932,0.25037,3.61501,0.2415,0.1932,0.08005,5.89071,0.24009,0.1932,0.25037,3.61501
3,0.18311,1.41483,0.16905,8.72158,0.24009,0.25037,0.7,0.16905,8.72155,"['PFL', 'TKT2']","['ACALD', 'PYK']","['FUM', 'MDH3']",22.766,0.78,4.23,0.18311,0.16905,0.06069,3.89348,0.19481,0.16905,0.06457,8.72155,0.24009,0.16905,0.25037,5.34814
4,0.18311,1.41483,0.1449,9.8153,0.24009,0.25037,0.6,0.1449,9.8153,"['PFL', 'TKT2']","['ACALD', 'PYK']","['FUM', 'G6PDH2r']",26.368,0.406,4.853,0.18311,0.1449,0.06069,8.15155,0.19481,0.1449,0.06457,9.8153,0.24009,0.1449,0.25037,7.08126
5,0.18311,1.41483,0.12075,10.90905,0.24009,0.25037,0.5,0.12075,10.90905,"['PFL', 'TKT2']","['AKGDH', 'FRD2']","['FUM', 'MDH2']",20.879,0.579,5.397,0.18311,0.12075,0.06069,10.11946,0.2415,0.12075,0.08005,10.90905,0.24009,0.12075,0.25037,8.81438
6,0.11729,2.31314,0.0966,12.00279,0.24009,0.25037,0.4,0.0966,12.00279,"['PFL', 'RPI']","['AKGDH', 'PYK']","['FRD2', 'FUM']",19.166,0.633,5.431,0.11729,0.0966,2.31308,7.85046,0.2415,0.0966,0.08005,12.00279,0.24009,0.0966,0.25037,9.83878
7,0.11729,2.31308,0.07245,13.01654,0.24009,0.25037,0.3,0.07245,13.01748,"['PFL', 'RPI']","['PFL', 'PYK']","['FUM', 'MDH3']",12.431,0.349,5.666,0.11729,0.07245,2.31308,10.55729,0.18921,0.07245,0.06272,13.01643,0.24009,0.07245,0.25037,10.72909
8,0.0531,8.97928,0.0483,13.93469,0.24009,0.25037,0.2,0.0483,13.93462,"['GLCptspp', 'PYK']","['FBA', 'PYK']","['FUM', 'MDH2']",14.775,0.377,6.105,0.0531,0.0483,8.97926,9.84622,0.2415,0.0483,0.08005,13.93462,0.24009,0.0483,0.25037,11.61939
9,0.0531,8.97928,0.02415,14.85218,0.24009,0.25037,0.1,0.02415,14.85176,"['GLCptspp', 'PYK']","['FBA', 'PYK']","['FUM', 'PFK']",15.586,0.363,5.865,0.0531,0.02415,8.97926,11.66311,0.2415,0.02415,0.08005,14.85175,0.24009,0.02415,0.25037,12.5097
10,-0.0,15.76889,-0.0,15.76889,0.24009,0.25037,1.4e-16,0.0,15.76889,"['RPE', 'RPI']","['MDH3', 'RPI']","['FRD2', 'FUM']",2.25,0.293,13.246,0.0,0.0,0.0,15.76889,0.15689,0.0,0.052,15.76889,0.24009,0.0,0.25037,13.39574
