,MB,MC,CB,CC,PB,PC,tgt,Bio,Che,Mys,Cys,Pys,Mt,Ct,Pt,ICB_mb,ICC_mb,ICB_mc,ICC_mc,ICB_cb,ICC_cb,ICB_cc,ICC_cc,ICB_pb,ICC_pb,ICB_pc,ICC_pc
0,0.92195,1e-05,0.92195,1e-05,0.92195,0.0,1.0,0.92195,-0.0,"['ACALD', 'PYK']","['ACALD', 'FRD2']","['ACALD', 'FRD2']",1.053,0.178,0.189,0.92195,0.92195,0.0,0.0,0.92195,0.92195,0.0,-0.0,0.92195,0.92195,0.0,-0.0
1,0.83255,1.90414,0.82975,3.72729,0.83255,1.90413,0.9,0.82975,3.7271,"['PGI', 'TKT1']","['ACALD', 'FRD2']","['PGI', 'TKT1']",2.752,0.348,1.618,0.83255,0.82975,1.90413,2.01997,0.92195,0.82975,0.0,3.7271,0.83255,0.82975,1.90413,2.01997
2,0.73756,6.9555,0.73756,7.28448,0.74006,3.84645,0.8,0.73756,7.28433,"['GND', 'RPE']","['LDH_D', 'MDH2']","['PGL', 'TPI']",2.496,0.157,2.606,0.89992,0.73756,0.42688,6.95533,0.92195,0.73756,0.0,7.28433,0.74006,0.73756,3.84645,4.01243
3,0.66986,5.3787,0.64536,10.43541,0.66986,5.37864,0.7,0.64536,10.4353,"['HEX1', 'PGM']","['LDH_D', 'MDH2']","['HEX1', 'PGM']",4.222,0.143,3.068,0.66986,0.64536,5.37864,6.37789,0.92195,0.64536,0.0,10.4353,0.66986,0.64536,5.37864,6.37789
4,0.5598,7.83264,0.55317,13.02176,0.55317,11.96504,0.6,0.55317,13.02168,"['GAPD', 'HEX1']","['LDH_D', 'MDH2']","['ACKr', 'ICDHyr']",3.762,0.17,2.11,0.5598,0.55317,7.83248,8.10131,0.92195,0.55317,0.0,13.02168,0.55317,0.55317,0.31689,11.96504
5,0.53219,8.38574,0.46097,15.52393,0.53219,8.38375,0.5,0.46097,15.52386,"['PGK', 'PGL']","['LDH_D', 'MDH2']","['PGK', 'PGL']",3.289,0.154,3.322,0.53219,0.46097,8.38375,11.25639,0.92195,0.46097,0.0,15.52386,0.53219,0.46097,8.38375,11.25639
6,0.53218,8.38881,0.36878,18.0261,0.53219,8.38375,0.4,0.36878,18.02605,"['G6PDH2r', 'PGK']","['LDH_D', 'MDH2']","['GAPD', 'PGL']",2.976,0.165,3.237,0.53219,0.36878,8.38375,14.6624,0.92195,0.36878,0.0,18.02605,0.53219,0.36878,8.38375,14.6624
7,0.53218,8.38994,0.27658,20.50494,0.53219,8.38375,0.3,0.27658,20.5049,"['G6PDH2r', 'GAPD']","['LDH_D', 'MDH2']","['G6PDH2r', 'PGK']",4.168,0.236,4.992,0.53219,0.27658,8.38375,17.62256,0.92195,0.27658,0.0,20.5049,0.53219,0.27658,8.38375,17.62256
8,0.18439,22.87759,0.18439,22.87756,0.53219,8.38375,0.2,0.18439,22.87756,"['ICDHyr', 'PFL']","['LDH_D', 'MDH2']","['PGK', 'PGL']",0.781,0.138,3.168,0.18439,0.18439,15.99219,22.87756,0.92195,0.18439,0.0,22.87756,0.53219,0.18439,8.38375,20.58272
9,0.09219,25.18523,0.09219,25.18529,0.53219,8.38375,0.1,0.09219,25.18522,"['CS', 'PGL']","['LDH_D', 'MDH2']","['G6PDH2r', 'PGK']",1.186,0.131,3.418,0.09219,0.09219,17.9961,25.18522,0.92195,0.09219,0.0,25.18522,0.53219,0.09219,8.38375,23.54228
10,0.0,27.49286,-0.0,27.49287,0.53219,8.38375,1.4e-16,0.0,27.49286,"['CS', 'PFL']","['MDH', 'PFK']","['GAPD', 'PGL']",1.384,0.135,5.08,0.0,0.0,20.0,27.49286,0.8667,0.0,1.16192,27.49286,0.53219,0.0,8.38375,26.30526
