,MB,MC,CB,CC,PB,PC,tgt,Bio,Che,Mys,Cys,Pys,Mt,Ct,Pt,ICB_mb,ICC_mb,ICB_mc,ICC_mc,ICB_cb,ICC_cb,ICB_cc,ICC_cc,ICB_pb,ICC_pb,ICB_pc,ICC_pc
0,0.92195,0.00022,0.92195,1e-05,0.92195,1e-05,1.0,0.92195,-0.0,['PYK'],['ACALD'],['FRD2'],0.444,0.11,0.151,0.92195,0.92195,0.0,0.0,0.92195,0.92195,0.0,-0.0,0.92195,0.92195,0.0,-0.0
1,0.84459,1.64247,0.84459,1.64247,0.84459,1.64246,0.9,0.82975,3.7271,['TPI'],['TPI'],['TPI'],1.261,0.568,0.359,0.84459,0.82975,1.64246,2.24772,0.84459,0.82975,1.64246,2.24772,0.84459,0.82975,1.64246,2.24772
2,0.74529,3.80086,0.73756,7.28447,0.74529,3.80065,0.8,0.73756,7.28433,['ENO'],['CS'],['ENO'],1.276,0.116,0.357,0.74529,0.73756,3.80065,4.11047,0.73756,0.73756,3.96877,7.28433,0.74529,0.73756,3.80065,4.11047
3,0.74529,3.80066,0.64536,10.43541,0.74529,3.80065,0.7,0.64536,10.4353,['PGM'],['CS'],['ENO'],1.696,0.143,0.396,0.74529,0.64536,3.80065,7.63941,0.64536,0.64536,5.97268,10.4353,0.74529,0.64536,3.80065,7.63941
4,0.62501,6.41519,0.55317,13.02176,0.62501,6.41502,0.6,0.55317,13.02168,['PGK'],['CS'],['PGK'],1.538,0.137,0.391,0.62501,0.55317,6.41502,9.32082,0.55317,0.55317,7.97658,13.02168,0.62501,0.55317,6.41502,9.32082
5,0.62501,6.41519,0.46097,15.52393,0.62501,6.41502,0.5,0.46097,15.52386,['GAPD'],['CS'],['PGK'],1.519,0.132,0.426,0.62501,0.46097,6.41502,12.83341,0.46097,0.46097,9.98048,15.52386,0.62501,0.46097,6.41502,12.83341
6,0.36878,18.02611,0.36878,18.02611,0.62501,6.41502,0.4,0.36878,18.02605,['CS'],['CS'],['GAPD'],0.703,0.211,0.448,0.36878,0.36878,11.98439,18.02605,0.36878,0.36878,11.98439,18.02605,0.62501,0.36878,6.41502,15.78712
7,0.27658,20.50494,0.27658,20.50494,0.84459,1.64246,0.3,0.27658,20.5049,['ICDHyr'],['CS'],['TPI'],1.063,0.136,0.278,0.27658,0.27658,13.98829,20.5049,0.27658,0.27658,13.98829,20.5049,0.84459,0.27658,1.64246,20.44326
8,0.18439,22.87759,0.18439,22.87759,0.84459,1.64246,0.2,0.18439,22.87756,['ICDHyr'],['CS'],['TPI'],0.724,0.135,0.283,0.18439,0.18439,15.99219,22.87756,0.18439,0.18439,15.99219,22.87756,0.84459,0.18439,1.64246,22.29091
9,0.09219,25.18523,0.09219,25.1853,0.84459,1.64246,0.1,0.09219,25.18522,['CS'],['CS'],['TPI'],1.371,0.221,0.321,0.09219,0.09219,17.99611,25.18522,0.09219,0.09219,17.99611,25.18522,0.84459,0.09219,1.64246,23.64546
10,-0.0,27.49287,-0.0,27.49287,0.62501,6.41502,1.4e-16,0.0,27.49286,['ICDHyr'],['CS'],['GAPD'],0.802,0.246,0.45,0.0,0.0,20.0,27.49286,0.0,0.0,20.0,27.49286,0.62501,0.0,6.41502,26.65714
