,MB,MC,CB,CC,PB,PC,tgt,Bio,Che,Mys,Cys,Pys,Mt,Ct,Pt,ICB_mb,ICC_mb,ICB_mc,ICC_mc,ICB_cb,ICC_cb,ICB_cc,ICC_cc,ICB_pb,ICC_pb,ICB_pc,ICC_pc
0,0.88557,6e-05,0.88557,0.00011,0.88557,0.00011,1.0,0.88557,0.0,"['GLCabcpp', 'PFL', 'PYK']","['HEX1', 'PFL', 'PYK']","['FRD2', 'GLCabcpp', 'HEX1']",2.326,0.292,0.41,0.88557,0.88557,0.0,-0.0,0.88557,0.88557,0.0,-0.0,0.88557,0.88557,0.0,-0.0
1,0.79701,2.33059,0.79701,2.28987,0.81763,0.85092,0.9,0.79701,2.39767,"['ALCD2x', 'TKT1', 'TKT2']","['GND', 'PFL', 'TKT2']","['AKGDH', 'FUM', 'HEX1']",10.867,27.103,74.589,0.79701,0.79701,0.0,2.33052,0.79701,0.79701,0.0,2.28982,0.81763,0.79701,0.85092,1.98859
2,0.70846,3.94948,0.70846,3.94949,0.70846,3.99248,0.8,0.70846,3.99242,"['ACKr', 'TKT2', 'TALA']","['HEX1', 'RPI', 'TKT2']","['FRD2', 'HEX1', 'TKT2']",11.082,6.92,0.681,1.0,0.70846,2000.0,3.94943,1.0,0.70846,2000.0,3.94943,0.88007,0.70846,0.0,3.99242
3,0.6199,5.55427,0.6199,5.38435,0.6199,5.58515,0.7,0.6199,5.5851,"['ALCD2x', 'TKT1', 'TKT2']","['GND', 'PFK', 'RPE']","['FRD2', 'HEX1', 'MDH']",5.85,74.872,0.844,1.0,0.6199,2000.0,5.55421,1.0,0.6199,2000.0,5.3843,0.86147,0.6199,0.0,5.5851
4,0.53134,7.1579,0.53134,7.15097,0.53134,7.17783,0.6,0.53134,7.17777,"['ACKr', 'GND', 'TKT2']","['MDH3', 'RPE', 'TKT1']","['FRD2', 'HEX1', 'TKT2']",7.526,20.093,0.711,1.0,0.53134,2000.0,7.15784,1.0,0.53134,2000.0,7.15091,0.87654,0.53134,0.0,7.17777
5,0.44279,8.7705,0.44279,8.75576,0.44279,8.7705,0.5,0.44279,8.77044,"['ACALD', 'RPI', 'PYK']","['FRD2', 'RPE', 'TKT1']","['FRD2', 'HEX1', 'TKT1']",5.85,23.801,0.678,0.8685,0.44279,0.0,8.77044,1.0,0.44279,2000.0,8.7557,0.87297,0.44279,0.0,8.77044
6,0.35423,10.36317,0.35423,10.36054,0.35423,10.36317,0.4,0.35423,10.36312,"['GND', 'RPE', 'PYK']","['FRD2', 'RPE', 'TKT1']","['GLCabcpp', 'GND', 'HEX1']",3.486,14.066,0.613,0.54818,0.35423,0.0,10.36312,0.35423,0.35423,0.0,10.36049,0.86968,0.35423,0.0,10.36312
7,0.26567,11.95254,0.26567,11.95526,0.26567,11.95526,0.3,0.26567,11.9552,"['ACKr', 'TKT2', 'TALA']","['GLCabcpp', 'RPI', 'TKT2']","['GLCabcpp', 'HEX1', 'RPE']",5.551,6.536,0.888,1.0,0.26567,2000.0,11.95249,1.0,2000.0,2000.0,1.0,0.87266,0.26567,0.0,11.9552
8,0.17711,13.54423,0.17711,13.50585,0.17711,13.54302,0.2,0.17711,13.54418,"['GND', 'PGL', 'RPE']","['RPE', 'TKT1', 'SUCOAS']","['HEX1', 'PGL', 'RPE']",3.511,36.717,0.91,0.17711,0.17711,0.0,13.54418,1.0,0.17711,2000.0,13.50579,0.86254,0.17711,0.0,13.54296
9,0.08856,15.13321,0.08856,15.13274,0.08856,15.13335,0.1,0.08856,15.13316,"['G6PDH2r', 'GND', 'RPE']","['GLCabcpp', 'GND', 'RPE']","['ACKr', 'G6PDH2r', 'GLCabcpp']",2.669,2.681,0.358,1.0,0.08856,2000.0,15.13316,1.0,2000.0,2000.0,1.0,1.0,2000.0,2000.0,1.0
10,0.0,16.72216,0.0,16.72215,0.0,16.72215,1.4e-16,0.0,16.72214,"['ACALD', 'AKGDH', 'ICDHyr']","['G6PDH2r', 'HEX1', 'ICDHyr']","['ACKr', 'G6PDH2r', 'ICDHyr']",1.077,2.01,1.032,0.0,0.0,0.0,16.72214,0.0,0.0,0.0,16.72214,0.0,0.0,0.0,16.72214
