,MB,MC,CB,CC,PB,PC,tgt,Bio,Che,Mys,Cys,Pys,Mt,Ct,Pt,ICB_mb,ICC_mb,ICB_mc,ICC_mc,ICB_cb,ICC_cb,ICB_cc,ICC_cc,ICB_pb,ICC_pb,ICB_pc,ICC_pc
0,0.2415,0.08007,0.2415,0.08007,0.2415,0.08005,1.0,0.2415,0.08005,"['AKGDH', 'G6PDH2r', 'MDH2']","['AKGDH', 'FRD2', 'PYK']","['AKGDH', 'FRD2', 'PYK']",1.204,0.524,0.493,1.0,0.2415,2000.0,0.08005,1.0,0.2415,2000.0,0.08005,1.0,0.2415,2000.0,0.08005
1,0.23816,0.25083,0.24009,0.25037,0.24009,0.25037,0.9,0.21735,2.98538,"['FUM', 'TKT2', 'TALA']","['FUM', 'PGL', 'PYK']","['FUM', 'PFK', 'SUCOAS']",10.9,35.093,4.883,0.23819,0.21735,0.2484,1.75608,0.24009,0.21735,0.25037,1.88189,0.24009,0.21735,0.25037,1.88189
2,0.24005,0.25298,0.24009,0.25037,0.24009,0.25037,0.8,0.1932,5.89071,"['FUM', 'FBA', 'PGL']","['FUM', 'FBA', 'MDH3']","['AKGDH', 'FUM', 'SUCOAS']",29.746,57.078,13.027,0.24009,0.1932,0.25037,3.61501,0.24009,0.1932,0.25037,3.61501,0.24009,0.1932,0.25037,3.61501
3,0.18311,1.41479,0.18311,1.41479,0.24009,0.25037,0.7,0.16905,8.72155,"['FRD2', 'PFL', 'TKT2']","['LDH_D', 'PFL', 'TKT2']","['FUM', 'HEX1', 'PYK']",19.064,93.484,22.317,0.18311,0.16905,0.06069,3.89348,0.18311,0.16905,1.41479,3.89348,0.24009,0.16905,0.25037,5.34814
4,0.18311,1.41487,0.18311,1.41479,0.24009,0.25037,0.6,0.1449,9.8153,"['PFK', 'PFL', 'TKT2']","['MDH3', 'PFL', 'TKT2']","['FUM', 'GLCabcpp', 'MDH2']",68.756,96.327,32.34,0.18311,0.1449,0.06069,8.15155,0.18311,0.1449,0.06069,8.15155,0.24009,0.1449,0.25037,7.08126
5,0.18306,1.42275,0.18311,1.41479,0.24009,0.25037,0.5,0.12075,10.90905,"['PFL', 'PTAr', 'TKT2']","['ACALD', 'PFL', 'TKT2']","['FUM', 'MDH2', 'SUCOAS']",21.416,99.749,43.735,0.18311,0.12075,1.41479,7.53676,0.18311,0.12075,1.41479,10.11946,0.24009,0.12075,0.25037,8.81438
6,0.11256,9.10917,0.11256,9.10913,0.11256,9.10913,0.4,0.0966,12.00279,"['ALCD2x', 'LDH_D', 'PFL']","['ALCD2x', 'LDH_D', 'PFL']","['ALCD2x', 'LDH_D', 'PFL']",15.16,48.907,16.552,0.11256,0.0966,9.10913,11.0027,0.11256,0.0966,9.10913,11.0027,0.11256,0.0966,9.10913,11.0027
7,0.11256,9.10914,0.11256,9.10913,0.11256,4.23358,0.3,0.07245,13.01748,"['ALCD2x', 'LDH_D', 'PFL']","['ACALD', 'LDH_D', 'PFL']","['ACALD', 'LDH_D', 'PFL']",51.949,79.082,35.639,0.11256,0.07245,9.10913,13.01643,0.11256,0.07245,9.10913,13.01643,0.11256,0.07245,9.10913,13.01643
8,0.05128,9.60881,0.05128,9.6088,0.05128,9.6088,0.2,0.0483,13.93462,"['ACALD', 'GLCptspp', 'PYK']","['ACALD', 'GLCptspp', 'PYK']","['ALCD2x', 'GLCptspp', 'PYK']",22.426,98.326,19.381,0.05128,0.0483,9.6088,9.84622,0.05128,0.0483,9.6088,9.84622,0.05128,0.0483,9.6088,9.84622
9,0.05128,9.60933,0.05128,9.6088,0.05128,9.6088,0.1,0.02415,14.85176,"['ACALD', 'GLCptspp', 'PYK']","['ALCD2x', 'GLCptspp', 'PYK']","['ALCD2x', 'GLCptspp', 'PYK']",22.704,113.759,21.379,0.05128,0.02415,9.6088,11.66311,0.05128,0.02415,9.6088,11.66311,0.05128,0.02415,9.6088,11.66311
10,-0.0,15.76889,-0.0,15.76889,0.24009,0.25037,1.4e-16,0.0,15.76889,"['GND', 'RPE', 'RPI']","['MDH3', 'RPI', 'TKT2']","['FUM', 'PFK', 'SUCOAS']",2.988,0.859,115.215,0.0,0.0,0.0,15.76889,0.0,0.0,0.0,15.76889,0.24009,0.0,0.25037,13.39574
