C_Bio,C_Che,Method,Time,Tgt,Strain,K,Strategy,KIndex,E_Bio,E_Che,ICB_Bio,ICB_Che,ICC_Bio,ICC_Che,ID,Pct_Che,Pct_Bio
0.625012685,6.415016327,P,0.398999929,10,iJR,1,['GAPD'],[427],0.09219481,25.18522182,0.625012685,6.415016327,0.09219481,24.02119683,2211,inf,67.79261087
0.532187369,8.383747667,P,2.460999966,10,iJR,2,"['PGK', 'PGL']","[781, 782]",0.09219481,25.18522182,0.532187369,8.383747667,0.09219481,23.54227707,2212,inf,57.72422239
0.497303171,9.19085064,P,44.29999995,10,iJR,3,"['GAPD', 'MDH', 'PGL']","[427, 707, 782]",0.09219481,25.18522182,0.497303171,9.19085064,0.09219481,23.54227708,2213,inf,53.94047384
0.625012685,6.415016327,P,0.44900012,20,iJR,1,['GAPD'],[427],0.184389619,22.87756145,0.625012685,6.415016327,0.184389619,21.38522328,2221,inf,67.79261087
0.532187369,8.383747667,P,2.347000122,20,iJR,2,"['G6PDH2r', 'PGK']","[393, 781]",0.184389619,22.87756145,0.532187369,8.383747667,0.184389619,20.58271634,2222,inf,57.7242224
0.496520471,9.207863301,P,44.62900019,20,iJR,3,"['GAPD', 'MDH', 'PGL']","[427, 707, 782]",0.184389619,22.87756145,0.496520471,9.207863039,0.184389619,20.56221323,2223,inf,53.85557753
0.625012685,6.415016327,P,0.667000055,30,iJR,1,['GAPD'],[427],0.276584429,20.50489644,0.625012685,6.415016327,0.276584429,18.71221376,2231,inf,67.79261087
0.532187369,8.383747667,P,2.578000069,30,iJR,2,"['PGK', 'PGL']","[781, 782]",0.276584429,20.50489644,0.532187369,8.383747667,0.276584429,17.62255936,2232,inf,57.72422238
0.496520471,9.207863188,P,45.72100019,30,iJR,3,"['MDH', 'PGK', 'PGL']","[707, 781, 782]",0.276584429,20.50489644,0.496520471,9.207863039,0.276584429,17.5918047,2233,inf,53.85557753
0.625012685,6.415016327,P,0.487999916,40,iJR,1,['GAPD'],[427],0.368779238,18.02604509,0.625012685,6.415016327,0.368779238,15.78711835,2241,inf,67.79261087
0.532187369,8.383747667,P,2.149999857,40,iJR,2,"['GAPD', 'PGL']","[427, 782]",0.368779238,18.02604509,0.532187369,8.383747667,0.368779238,14.66240238,2242,inf,57.72422238
0.496520471,9.207863423,P,43.94400001,40,iJR,3,"['MDH', 'PGK', 'PGL']","[707, 781, 782]",0.368779238,18.02604509,0.496520471,9.207863039,0.368779238,14.62139617,2243,inf,53.85557753
0.625012685,6.415016327,P,0.582999945,50,iJR,1,['GAPD'],[427],0.460974048,15.5238607,0.625012685,6.415016327,0.460974048,12.83341144,2251,inf,67.79261087
0.532187369,8.383747668,P,2.978999853,50,iJR,2,"['PGK', 'PGL']","[781, 782]",0.460974048,15.5238607,0.532187369,8.383747667,0.460974048,11.25639022,2252,inf,57.7242224
0.496520471,9.207863039,P,48.08800006,50,iJR,3,"['G6PDH2r', 'MDH', 'PGK']","[393, 707, 781]",0.460974048,15.5238607,0.496520471,9.207863039,0.460974048,10.78976494,2253,inf,53.85557753
0.625012685,6.415016327,P,0.596000195,60,iJR,1,['GAPD'],[427],0.553168857,13.02167633,0.625012685,6.415016327,0.553168857,9.32082309,2261,inf,67.79261087
0.559798506,7.832481234,P,2.311000109,60,iJR,2,"['HEX1', 'PGK']","[496, 781]",0.553168857,13.02167633,0.559798506,7.832481232,0.553168857,8.101310897,2262,inf,60.71909136
0.557366275,7.885347068,P,41.51899981,60,iJR,3,"['GAPD', 'HEX1', 'FBA']","[427, 496, 776]",0.553168857,13.02167633,0.557366275,7.885347068,0.553168857,8.055688074,2263,inf,60.45527708
0.745293294,3.800653192,P,0.476000071,70,iJR,1,['ENO'],[260],0.645363667,10.43530095,0.745293295,3.800653194,0.645363667,7.639413644,2271,inf,80.83896462
0.669863507,5.3786392,P,2.342999935,70,iJR,2,"['HEX1', 'PGM']","[496, 784]",0.645363667,10.43530095,0.669863507,5.3786392,0.645363667,6.377894641,2272,inf,72.65739914
0.646745697,5.883240272,P,26.76300001,70,iJR,3,"['HEX1', 'PGM', 'TKT2']","[496, 784, 1006]",0.645363667,10.43530095,0.646745697,5.883240271,0.645363667,5.995868226,2273,inf,70.14990331
0.745293294,3.800653193,P,0.55099988,80,iJR,1,['PGM'],[784],0.737558476,7.284326889,0.745293294,3.800653192,0.737558476,4.110465815,2281,inf,80.83896463
0.740059445,3.846446259,P,1.705000162,80,iJR,2,"['PGL', 'TPI']","[782, 1033]",0.737558476,7.284326889,0.740059445,3.846446259,0.737558476,4.012433987,2282,inf,80.27127007
0.737583974,3.900479755,P,18.61899996,80,iJR,3,"['G6PDH2r', 'TALA', 'TPI']","[393, 941, 1033]",0.737558476,7.284326889,0.737583974,3.900479299,0.737558476,3.921404182,2283,inf,80.00276566
0.844586499,1.642462484,P,0.406999826,90,iJR,1,['TPI'],[1033],0.829753286,3.727102802,0.844586499,1.642462484,0.829753286,2.247723634,2291,inf,91.60889901
0.832547834,1.904134929,P,1.361999989,90,iJR,2,"['PGI', 'TKT1']","[779, 1005]",0.829753286,3.727102802,0.832547834,1.90412929,0.829753286,2.019971543,2292,inf,90.30311342
0.832547834,1.904130039,P,8.212000132,90,iJR,3,"['ACALD', 'PGI', 'TKT1']","[28, 779, 1005]",0.829753286,3.727102802,0.832547834,1.90412929,0.829753286,2.019971543,2293,inf,90.30311342
0.24008605,0.250371833,P,1.137000084,10,iJO,1,['FUM'],[1165],0.024150183,14.85175734,0.24008605,0.250371336,0.024150183,12.50969574,1211,212.772578,99.41375876
0.24008605,0.25037227,P,4.239000082,10,iJO,2,"['FUM', 'PGL']","[1165, 2065]",0.024150183,14.85175734,0.24008605,0.250371336,0.024150183,12.50969574,1212,212.7731235,99.41375876
0.051282009,9.608799702,P,30.97900009,10,iJO,3,"['ACALD', 'GLCptspp', 'PYK']","[436, 1291, 2239]",0.024150183,14.85175734,0.051282009,9.608799114,0.024150183,11.663118,1213,11903.62285,21.2346253
0.24008605,0.250371862,P,1.181999922,20,iJO,1,['FUM'],[1165],0.048300367,13.93461885,0.24008605,0.250371336,0.048300367,11.61939148,1221,212.772614,99.41375876
0.24008605,0.250371828,P,4.897000074,20,iJO,2,"['FRD2', 'FUM']","[1143, 1165]",0.048300367,13.93461885,0.24008605,0.250371336,0.048300367,11.61939148,1222,212.7725714,99.41375876
